PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
03MaxMin;0.7;8;8;100%;14;21;67%
03MaxMin;0.7;8;8;100%;18;21;86%
03MaxMin;0.7;8;8;100%;18;21;86%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.9;7;8;88%;18;21;86%
03MaxMin;0.9;8;8;100%;17;21;81%
03MaxMin;1.0;7;8;88%;17;21;81%
03MaxMin;1.0;8;8;100%;15;21;71%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.6;8;8;100%;17;21;81%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.4;8;8;100%;18;21;86%
03MaxMin;0.4;8;8;100%;16;21;76%
03MaxMin;0.3;8;8;100%;18;21;86%
03MaxMin;0.3;8;8;100%;18;21;86%
03MaxMin;0.2;8;8;100%;18;21;86%
03MaxMin;0.2;8;8;100%;18;21;86%
03MaxMin;0.2;8;8;100%;18;21;86%
03MaxMin;0.1;8;8;100%;18;21;86%
03MaxMin;0.1;8;8;100%;18;21;86%
03MaxMin;0.1;8;8;100%;18;21;86%
03MaxMin;0.0;8;8;100%;18;21;86%
03MaxMin;0.0;8;8;100%;18;21;86%
03MaxMin;0.0;8;8;100%;18;21;86%
03MaxMin;0.0;0;8;0%;0;21;0%
